id,go,sel
ENSG00000253123,False,False
ENSG00000184434,True,False
ENSG00000223958,False,False
ENSG00000237195,False,False
ENSG00000065970,True,False
ENSG00000233693,False,False
ENSG00000267054,False,False
ENSG00000233727,False,False
ENSG00000274730,False,False
ENSG00000254081,False,False
ENSG00000285989,False,False
ENSG00000149507,True,False
ENSG00000241169,False,False
ENSG00000179832,True,False
ENSG00000230451,False,False
ENSG00000254373,False,False
ENSG00000076770,True,False
ENSG00000071991,True,False
ENSG00000119640,True,False
ENSG00000285064,True,False
ENSG00000253132,False,False
ENSG00000250438,False,False
ENSG00000186174,True,False
ENSG00000144962,True,False
ENSG00000254901,True,False
ENSG00000261505,False,False
ENSG00000103241,True,False
ENSG00000176125,True,False
ENSG00000237048,False,False
ENSG00000100360,True,False
ENSG00000234830,False,False
ENSG00000232915,False,False
ENSG00000254052,False,False
ENSG00000118492,True,False
ENSG00000186268,False,False
ENSG00000101986,True,False
ENSG00000233705,False,False
ENSG00000204394,True,False
ENSG00000162783,True,False
ENSG00000130826,True,False
ENSG00000252243,False,False
ENSG00000249170,False,False
ENSG00000152256,True,False
ENSG00000281394,False,False
ENSG00000229730,False,False
ENSG00000244226,False,False
ENSG00000028116,True,False
ENSG00000247324,False,False
ENSG00000275097,False,False
ENSG00000198491,False,False
ENSG00000140623,True,False
ENSG00000263627,False,False
ENSG00000276704,False,False
ENSG00000134200,True,False
ENSG00000155249,True,False
ENSG00000163684,True,False
ENSG00000240624,False,False
ENSG00000250623,False,False
ENSG00000253995,False,False
ENSG00000244041,False,False
ENSG00000176986,True,False
ENSG00000275327,False,False
ENSG00000284393,False,False
ENSG00000172009,True,False
ENSG00000155906,True,False
ENSG00000271560,False,False
ENSG00000146842,True,False
ENSG00000259525,False,False
ENSG00000203761,False,False
ENSG00000274197,False,False
ENSG00000233706,False,False
ENSG00000270911,False,False
ENSG00000182518,False,False
ENSG00000274525,False,False
ENSG00000164296,True,False
ENSG00000144036,True,False
ENSG00000275610,False,False
ENSG00000253477,False,False
ENSG00000277900,False,False
ENSG00000229086,False,False
ENSG00000261838,False,False
ENSG00000230191,False,False
ENSG00000118816,True,False
ENSG00000200089,False,False
ENSG00000229694,False,False
ENSG00000143819,True,False
ENSG00000214976,False,False
ENSG00000165434,True,False
ENSG00000187258,True,False
ENSG00000270273,False,False
ENSG00000226547,False,False
ENSG00000205784,True,False
ENSG00000273882,False,False
ENSG00000262067,False,False
ENSG00000280134,False,False
ENSG00000269335,True,False
ENSG00000159387,True,False
ENSG00000227945,False,False
ENSG00000177791,True,False
ENSG00000222998,False,False
ENSG00000206552,False,False
ENSG00000211805,True,False
ENSG00000006555,True,False
ENSG00000224687,False,False
ENSG00000115993,True,False
ENSG00000183230,True,False
ENSG00000201969,False,False
ENSG00000201059,False,False
ENSG00000274183,True,False
ENSG00000253709,False,False
ENSG00000212951,False,False
ENSG00000204583,True,False
ENSG00000131771,True,False
ENSG00000228929,False,False
ENSG00000161132,False,False
ENSG00000133226,True,False
ENSG00000204366,True,False
ENSG00000224807,False,False
ENSG00000278311,True,False
ENSG00000257762,False,False
ENSG00000257935,False,False
ENSG00000174417,True,False
ENSG00000136830,True,False
ENSG00000162129,True,False
ENSG00000175224,True,False
ENSG00000275401,False,False
ENSG00000140521,True,False
ENSG00000133816,True,False
ENSG00000236394,False,False
ENSG00000273621,False,False
ENSG00000202193,False,False
ENSG00000202542,False,False
ENSG00000137628,True,False
ENSG00000111231,True,False
ENSG00000261398,False,False
ENSG00000173218,True,False
ENSG00000153814,True,False
ENSG00000238085,False,False
ENSG00000275503,False,False
ENSG00000274818,False,False
ENSG00000223430,False,False
ENSG00000234192,False,False
ENSG00000261233,False,False
ENSG00000233084,False,False
ENSG00000257087,False,False
ENSG00000227096,False,False
ENSG00000163825,True,False
ENSG00000135077,True,False
ENSG00000253975,False,False
ENSG00000236520,False,False
ENSG00000164167,True,False
ENSG00000223891,False,False
ENSG00000249247,False,False
ENSG00000261773,False,False
ENSG00000255446,False,False
ENSG00000226665,False,False
ENSG00000171456,True,False
ENSG00000205883,True,False
ENSG00000253704,False,False
ENSG00000131171,True,False
ENSG00000257764,False,False
ENSG00000105976,True,False
ENSG00000230662,False,False
ENSG00000151012,True,False
ENSG00000271581,False,False
ENSG00000085978,True,False
ENSG00000019549,True,False
ENSG00000244753,False,False
ENSG00000238493,False,False
ENSG00000221937,True,False
ENSG00000235748,False,False
ENSG00000267391,False,False
ENSG00000170509,True,False
ENSG00000183087,True,False
ENSG00000250922,False,False
ENSG00000178734,False,False
ENSG00000224219,False,False
ENSG00000004975,True,False
ENSG00000225455,False,False
ENSG00000179899,False,False
ENSG00000185480,True,False
ENSG00000149527,True,False
ENSG00000254799,False,False
ENSG00000255161,False,False
ENSG00000135441,True,False
ENSG00000116221,True,False
ENSG00000256576,False,False
ENSG00000257941,False,False
ENSG00000260413,False,False
ENSG00000264004,False,False
ENSG00000138279,True,False
ENSG00000257878,False,False
ENSG00000280561,False,False
ENSG00000248199,False,False
ENSG00000112559,True,False
ENSG00000232220,False,False
ENSG00000213543,False,False
ENSG00000231747,False,False
ENSG00000279769,False,False
ENSG00000137819,True,False
ENSG00000150394,True,False
ENSG00000214269,False,False
ENSG00000029639,True,False
ENSG00000101265,True,False
ENSG00000234497,False,False
ENSG00000279366,False,False
ENSG00000085721,True,False
ENSG00000124767,True,False
ENSG00000070718,True,False
ENSG00000276908,False,False
ENSG00000259797,False,False
ENSG00000254815,False,False
ENSG00000285171,True,False
ENSG00000249937,False,False
ENSG00000232514,False,False
ENSG00000244932,False,False
ENSG00000276293,True,False
ENSG00000284783,False,False
ENSG00000266746,False,False
ENSG00000141480,True,False
ENSG00000250580,False,False
ENSG00000113615,True,False
ENSG00000274184,False,False
ENSG00000259118,False,False
ENSG00000283247,False,False
ENSG00000226941,True,False
ENSG00000111271,True,False
ENSG00000103351,True,False
ENSG00000274601,False,False
ENSG00000259926,False,False
ENSG00000266541,False,False
ENSG00000231382,False,False
ENSG00000198715,True,False
ENSG00000158859,True,False
ENSG00000242654,False,False
ENSG00000111913,True,False
ENSG00000212184,False,False
ENSG00000137965,True,False
ENSG00000070759,True,False
ENSG00000251766,False,False
ENSG00000225893,False,False
ENSG00000249843,False,False
ENSG00000199881,False,False
ENSG00000129422,True,False
ENSG00000254978,False,False
ENSG00000248254,False,False
ENSG00000242474,False,False
ENSG00000204380,False,False
ENSG00000273956,False,False
ENSG00000202025,False,False
ENSG00000206649,False,False
ENSG00000156127,True,False
ENSG00000144134,True,False
ENSG00000277576,False,False
ENSG00000232480,False,False
ENSG00000152942,True,False
ENSG00000065000,True,False
ENSG00000278009,False,False
ENSG00000231726,False,False
ENSG00000260401,False,False
ENSG00000235686,False,False
ENSG00000206795,False,False
ENSG00000182749,True,False
ENSG00000235606,False,False
ENSG00000274451,False,False
ENSG00000258973,False,False
ENSG00000254459,False,False
ENSG00000280402,False,False
ENSG00000170209,True,False
ENSG00000280335,False,False
ENSG00000200432,False,False
ENSG00000233156,False,False
ENSG00000111837,True,False
ENSG00000259674,False,False
ENSG00000207306,False,False
ENSG00000261486,False,False
ENSG00000251244,False,False
ENSG00000251396,False,False
ENSG00000250320,False,False
ENSG00000151025,True,False
ENSG00000236042,False,False
ENSG00000027001,True,False
ENSG00000146072,True,False
ENSG00000270191,False,False
ENSG00000241188,False,False
ENSG00000199311,False,False
ENSG00000133110,True,False
ENSG00000285883,False,False
ENSG00000213478,False,False
ENSG00000257621,False,False
ENSG00000275625,False,False
ENSG00000108176,True,False
ENSG00000231821,False,False
ENSG00000236940,False,False
ENSG00000273962,True,False
ENSG00000238380,False,False
ENSG00000174325,False,False
ENSG00000256338,False,False
ENSG00000207652,False,False
ENSG00000204428,True,False
ENSG00000242375,False,False
ENSG00000204176,True,False
ENSG00000241225,False,False
ENSG00000134905,True,False
ENSG00000226307,False,False
ENSG00000241613,False,False
ENSG00000269155,False,False
ENSG00000179083,True,False
ENSG00000109180,True,False
ENSG00000219487,False,False
ENSG00000103226,True,False
ENSG00000245385,False,False
ENSG00000260457,False,False
ENSG00000273669,False,False
ENSG00000114098,True,False
ENSG00000266017,False,False
ENSG00000112195,True,False
ENSG00000225092,False,False
ENSG00000167632,True,False
ENSG00000236069,False,False
ENSG00000160714,True,False
ENSG00000258537,False,False
